type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Fire,Flying,1,0,0,0,110,153,88,59,76,88,507,1.5022092629523385,135.75451294739588,41,95.28443741136871,6848,46,2,1,6,12,2
Water,nan,1,0,0,0,97,60,74,90,89,140,493,1.4003985450231933,138.68982612529396,33,83.66688300226994,4994,84,3,0,5,9,3
Electric,nan,1,0,0,0,105,137,58,58,155,101,540,1.0846197325876015,222.19895422249652,47,7.224446366694242,4768,45,3,1,3,9,5
Psychic,nan,1,0,0,0,93,75,64,146,67,101,487,1.450156359851183,248.41398835262714,40,85.88820993289069,4703,48,3,0,4,7,4
Rock,nan,1,0,0,0,80,70,136,109,40,121,396,0.9202625318877291,33.54360775425985,140,5.4396764480296245,5291,42,2,0,2,9,3
Psychic,nan,1,0,0,0,41,77,51,21,47,78,310,1.4233737461963514,32.88842761188433,231,4.7843277523663925,3893,174,2,1,0,12,3
Grass,Fighting,1,0,0,0,65,62,42,34,47,73,331,1.5558292809179999,58.09249594340549,126,0.817694900050232,2118,48,2,0,6,9,4
Fire,nan,1,0,0,0,68,85,115,42,53,73,414,1.3747178223739867,24.433375097082262,49,3.9762260326882064,5097,47,3,0,2,9,3
Electric,nan,1,0,0,0,39,33,57,45,71,96,296,0.4147727987612391,9.879554140032692,112,4.085130011270318,4659,173,2,1,0,17,2
Water,Poison,1,0,0,0,87,43,61,94,85,99,564,1.6404522418085645,157.1928526913434,41,5.4127469266607005,3538,46,3,1,4,9,4
Grass,Fighting,1,0,0,0,98,54,105,115,63,69,458,1.6567920544604182,303.33330822864104,48,6.196033871096355,2367,42,3,0,5,4,4
Rock,Fire,1,0,0,0,117,110,43,24,101,91,502,2.0958546513892653,110.44506586002969,46,12.03810513566125,4928,37,2,1,4,9,4
Fighting,nan,1,1,0,0,93,93,55,54,99,71,580,1.4106492061923506,64.56770133621067,44,3.9007410711218555,4107,81,2,1,0,12,4
Fire,nan,1,0,0,0,102,24,63,58,64,87,332,1.1713036693223093,76.4956494287588,100,4.713865685726812,4925,37,1,0,3,14,2
Water,nan,1,0,0,0,113,23,75,63,104,103,373,1.5909427924309132,35.2124451459804,47,4.697169508094745,5363,34,2,0,2,7,1
Fairy,nan,1,0,0,0,55,45,98,49,101,107,453,1.335488019678106,35.827662574735605,50,0.05336122073866978,4678,37,2,0,7,6,3
Poison,Water,1,0,0,0,48,79,64,67,49,78,315,0.3979980285499495,990.548041397223,48,4.619596730633301,5691,127,5,2,0,12,2
Fighting,nan,1,0,0,0,79,26,13,46,84,54,314,0.3428042361114096,-1.0528788406313083,187,5.265138963880654,4916,101,2,1,0,16,3
Psychic,nan,1,0,0,0,74,119,148,77,90,74,460,1.6346664809930582,37.80866996642411,48,-1.3193660330607901,22736,-6,4,2,4,7,4
Rock,nan,1,0,0,0,101,60,76,139,130,110,499,4.624353990513436,90.07439837718582,44,81.64391778733189,4733,10,2,1,5,7,2
Grass,Poison,1,0,0,0,110,43,72,73,99,78,657,0.9588839938005203,129.0520190295496,37,5.475864779041872,6925,36,3,3,5,8,1
Water,nan,1,1,0,0,105,48,62,102,88,139,557,0.2956357237164985,332.7607145603861,44,5.378517426044979,20514,49,3,0,2,12,4
Fairy,nan,1,0,0,0,103,93,62,76,108,79,595,1.321843454391945,316.7485322943625,43,5.471071067621301,4918,47,3,0,3,9,5
Steel,Dragon,1,0,0,0,95,59,59,44,65,103,619,2.511821813508988,18.196283798582105,122,5.242800857264596,30263,41,2,0,2,10,2
Fire,Dragon,1,0,1,0,102,73,68,84,98,76,549,3.6977715584409605,9.77693291965123,-2,5.630548602991633,31005,39,7,0,2,12,5
Grass,Poison,1,0,0,0,121,68,121,32,51,88,377,2.0120504734521734,18.619829300979426,52,3.9768994815789753,2630,72,3,0,8,9,3
