type_1,type_2,gen,is_legendary,is_mythical,is_ultra_beast,hp,attack,defense,sp_attack,sp_defense,speed,base_stats,height_meters,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities_count,number_immune,number_not_effective,number_normal,number_super_effective
Water,nan,1,0,1,0,111,105,126,119,93,110,625,2.6427233973804567,292.5026861197126,38,5.546835754685218,35999,-2,1,1,2,12,7
Grass,Water,1,0,0,0,95,46,101,58,78,102,445,2.7453204670942877,57.01781199192329,45,5.086839525282241,5066,80,2,1,2,16,3
Psychic,Flying,4,0,0,0,111,64,95,119,103,48,644,1.367922214991577,16.839142541837013,67,2.060012074693697,3851,29,3,1,2,8,5
Ice,Fairy,4,0,0,0,78,90,78,31,43,56,302,0.49722674496360214,29.230661175321394,103,4.073144119167318,3871,115,3,0,0,9,3
Dark,Flying,7,0,0,0,82,103,57,131,129,90,419,0.5383362321655801,18.205655993233037,18,4.529732470091515,2471,11,2,1,3,12,3
Ice,nan,2,0,0,0,43,94,28,39,43,73,293,0.3919893043469275,10.594653368484593,134,5.826000777480393,5111,189,4,1,3,13,3
Normal,Dragon,9,0,0,1,98,87,92,141,127,123,645,4.4450422731561074,231.70232312743767,26,5.110545126326724,32241,36,1,0,8,13,4
Dragon,Psychic,6,0,0,0,89,45,62,68,105,58,517,1.5930261067469933,157.1242224856805,78,6.219982016961304,5007,128,2,0,4,9,4
Rock,Psychic,9,0,0,0,58,109,57,145,139,128,437,3.4508039121935044,53.1787736468482,47,79.59621222066933,4559,36,3,1,2,6,5
Psychic,Flying,8,0,0,0,121,103,66,104,97,67,600,1.8890710006685278,303.30167624525774,55,89.00542832306705,2529,50,4,0,6,13,4
Poison,Dragon,5,0,0,1,77,83,120,100,100,50,518,3.2405807236143227,108.59685972199115,13,5.139193595123527,24754,34,2,0,8,9,5
Normal,nan,4,0,0,0,65,15,45,31,49,60,219,0.21221992810245377,-6.2193051742301275,204,30.88604170306605,6141,111,2,0,3,13,4
Rock,Electric,2,0,0,0,75,94,99,54,91,83,409,1.0039390221756237,24.24228563201377,41,50.83089197643863,5590,76,3,0,5,6,7
Rock,nan,9,1,0,0,77,25,57,33,35,52,233,0.2069053123317362,19.971257433197074,133,5.677408392780687,4616,127,3,0,2,13,3
Grass,nan,4,0,0,0,43,65,41,43,56,45,336,2.1114156392190417,16.706077901676224,130,3.869701736223637,4967,66,2,1,2,11,3
Steel,Fire,1,0,0,0,47,110,112,86,77,100,461,1.5974566301378088,86.92496982561187,130,5.924508074769589,1731,35,2,2,6,4,4
Normal,Fairy,3,0,0,0,56,55,52,39,33,39,359,0.48392991853621337,2.5919038795269422,93,4.263581405657604,1922,161,3,1,2,12,2
Normal,Steel,9,0,0,0,172,35,64,61,93,105,432,0.12021423608928306,51.94888099402392,43,89.64617955494167,5365,11,7,2,3,12,3
Rock,Ghost,9,0,0,0,102,76,58,57,49,103,490,0.6050588569886504,35.18345739217191,31,4.391705810826461,3154,46,3,1,5,13,4
Electric,Ice,3,0,0,0,35,22,47,51,64,71,222,0.5989190494590503,45.372774460283125,116,4.298893973166138,5026,89,3,1,0,13,1
Ghost,nan,3,0,0,0,91,101,89,84,107,90,518,1.4555170688035117,117.06186911157141,50,95.8992840178966,4778,38,3,0,8,9,4
Rock,Bug,7,0,1,0,104,41,87,94,161,74,594,2.739543438851817,650.9335209622429,-8,5.625725927956968,31647,2,1,1,2,5,5
Water,nan,9,0,0,0,98,61,66,36,95,63,502,1.2979075725903397,100.10401301576542,37,83.69732556453096,4087,55,2,2,6,7,5
Psychic,nan,5,0,1,0,89,51,105,102,102,106,505,0.3910599484536522,17.20928718136861,1,4.969430446024423,35273,-5,1,1,5,6,2
